dataset,split,accuracy,adv_control,n_voters,n_propositions,n_runs,corruption_avg,corruption_std,corruption_min,corruption_max,system_accuracy,target_corrupted_pct
MIX,70-30,0.5,0.3,10,100,30,99.17,1.46,95,100,0.83,100.0
MIX,70-30,0.55,0.3,10,100,30,98.4,2.44,93,100,1.6,100.0
MIX,70-30,0.6,0.3,10,100,30,96.77,8.59,54,100,3.23,100.0
MIX,70-30,0.65,0.3,10,100,30,81.4,26.96,29,100,18.6,80.0
MIX,70-30,0.68,0.3,10,100,30,59.7,35.78,14,100,40.3,56.67
MIX,70-30,0.7,0.3,10,100,30,53.17,37.29,10,100,46.83,50.0
MIX,70-30,0.72,0.3,10,100,30,40.47,36.04,9,100,59.53,36.67
MIX,70-30,0.74,0.3,10,100,30,25.4,29.08,7,100,74.6,23.33
MIX,70-30,0.76,0.3,10,100,30,17.67,22.65,5,100,82.33,13.33
MIX,70-30,0.78,0.3,10,100,30,14.6,23.36,4,100,85.4,13.33
MIX,70-30,0.8,0.3,10,100,30,12.83,23.81,3,100,87.17,13.33
MIX,70-30,0.82,0.3,10,100,30,11.2,24.24,2,100,88.8,10.0
MIX,70-30,0.84,0.3,10,100,30,3.17,1.95,0,9,96.83,0.0
MIX,70-30,0.86,0.3,10,100,30,2.23,1.63,0,7,97.77,0.0
MIX,70-30,0.88,0.3,10,100,30,1.47,1.2,0,5,98.53,0.0
MIX,70-30,0.9,0.3,10,100,30,1.0,1.26,0,5,99.0,0.0
MIX,70-30,0.92,0.3,10,100,30,0.4,0.62,0,2,99.6,0.0
MIX,70-30,0.95,0.3,10,100,30,0.07,0.25,0,1,99.93,0.0
MIX,70-30,0.99,0.3,10,100,30,0.0,0.0,0,0,100.0,0.0
PRO,70-30,0.5,0.3,10,60,30,59.07,1.53,54,60,1.56,100.0
PRO,70-30,0.55,0.3,10,60,30,58.0,3.4,49,60,3.33,100.0
PRO,70-30,0.6,0.3,10,60,30,53.77,9.97,25,60,10.39,96.67
PRO,70-30,0.65,0.3,10,60,30,42.8,16.72,10,60,28.67,80.0
PRO,70-30,0.68,0.3,10,60,30,30.47,17.86,7,60,49.22,53.33
PRO,70-30,0.7,0.3,10,60,30,25.07,16.57,7,60,58.22,46.67
PRO,70-30,0.72,0.3,10,60,30,19.87,15.9,5,60,66.89,36.67
PRO,70-30,0.74,0.3,10,60,30,15.2,15.14,3,60,74.67,26.67
PRO,70-30,0.76,0.3,10,60,30,9.87,10.04,2,60,83.56,16.67
PRO,70-30,0.78,0.3,10,60,30,6.4,2.85,1,13,89.33,13.33
PRO,70-30,0.8,0.3,10,60,30,4.8,2.35,1,10,92.0,10.0
PRO,70-30,0.82,0.3,10,60,30,3.03,1.85,0,7,94.94,6.67
PRO,70-30,0.84,0.3,10,60,30,2.3,1.58,0,7,96.17,3.33
PRO,70-30,0.86,0.3,10,60,30,1.6,1.3,0,5,97.33,0.0
PRO,70-30,0.88,0.3,10,60,30,0.87,1.11,0,5,98.56,0.0
PRO,70-30,0.9,0.3,10,60,30,0.63,0.85,0,3,98.94,0.0
PRO,70-30,0.92,0.3,10,60,30,0.33,0.55,0,2,99.44,0.0
PRO,70-30,0.95,0.3,10,60,30,0.07,0.25,0,1,99.89,0.0
PRO,70-30,0.99,0.3,10,60,30,0.0,0.0,0,0,100.0,0.0
