run,voters,propositions,accuracy,adv_control,prop_corrupted,prop_corrupted_pct,target_corrupted,alpha,stake,elapsed_time
1,10,60,0.608,0.3,58,96.67,1,0.7,100.0,0.0002
2,10,60,0.608,0.3,60,100.0,1,0.7,100.0,0.0002
3,10,60,0.608,0.3,50,83.33,1,0.7,100.0,0.0002
4,10,60,0.608,0.3,58,96.67,1,0.7,100.0,0.0002
5,10,60,0.608,0.3,45,75.0,1,0.7,100.0,0.0002
6,10,60,0.608,0.3,57,95.0,1,0.7,100.0,0.0002
7,10,60,0.608,0.3,57,95.0,1,0.7,100.0,0.0002
8,10,60,0.608,0.3,58,96.67,1,0.7,100.0,0.0002
9,10,60,0.608,0.3,60,100.0,1,0.7,100.0,0.0002
10,10,60,0.608,0.3,53,88.33,1,0.7,100.0,0.0002
11,10,60,0.608,0.3,56,93.33,1,0.7,100.0,0.0002
12,10,60,0.608,0.3,59,98.33,1,0.7,100.0,0.0002
13,10,60,0.608,0.3,27,45.0,0,0.7,100.0,0.0002
14,10,60,0.608,0.3,42,70.0,1,0.7,100.0,0.0002
15,10,60,0.608,0.3,60,100.0,1,0.7,100.0,0.0001
16,10,60,0.608,0.3,20,33.33,0,0.7,100.0,0.0002
17,10,60,0.608,0.3,56,93.33,1,0.7,100.0,0.0002
18,10,60,0.608,0.3,50,83.33,1,0.7,100.0,0.0002
19,10,60,0.608,0.3,59,98.33,1,0.7,100.0,0.0002
20,10,60,0.608,0.3,59,98.33,1,0.7,100.0,0.0002
21,10,60,0.608,0.3,59,98.33,1,0.7,100.0,0.0002
22,10,60,0.608,0.3,28,46.67,1,0.7,100.0,0.0002
23,10,60,0.608,0.3,59,98.33,1,0.7,100.0,0.0002
24,10,60,0.608,0.3,59,98.33,1,0.7,100.0,0.0002
25,10,60,0.608,0.3,56,93.33,1,0.7,100.0,0.0001
26,10,60,0.608,0.3,59,98.33,1,0.7,100.0,0.0001
27,10,60,0.608,0.3,59,98.33,1,0.7,100.0,0.0001
28,10,60,0.608,0.3,60,100.0,1,0.7,100.0,0.0001
29,10,60,0.608,0.3,57,95.0,1,0.7,100.0,0.0001
30,10,60,0.608,0.3,37,61.67,1,0.7,100.0,0.0002
